ngram,PMI,token
lupita nyong,14.462977306182086,lupita_nyong
aziz ansari,14.342683072464368,aziz_ansari
usain bolt,14.342683072464368,usain_bolt
patton oswalt,14.286099544098002,patton_oswalt
lindsay lohan,14.272293744572973,lindsay_lohan
blac chyna,14.128558267111519,blac_chyna
gwen stefani,14.128558267111519,gwen_stefani
meghan markle,14.032342951852222,meghan_markle
brie larson,14.032342951852216,brie_larson
iggy azalea,13.986539262239097,iggy_azalea
ronda rousey,13.98011299307966,ronda_rousey
hilary duff,13.925427747935705,hilary_duff
notre dame,13.857256245294128,notre_dame
gigi hadid,13.850166820507807,gigi_hadid
simone biles,13.816614260796785,simone_biles
costa rica,13.798362556240564,costa_rica
gwyneth paltrow,13.777085896610147,gwyneth_paltrow
leonardo dicaprio,13.777085896610146,leonardo_dicaprio
floyd mayweather,13.736887068326052,floyd_mayweather
hip hop,13.70525315184908,hip_hop
hugh jackman,13.664611167351731,hugh_jackman
bernie sanders,13.664611167351731,bernie_sanders
bryan cranston,13.664611167351731,bryan_cranston
miranda lambert,13.61498039962713,miranda_lambert
angelina jolie,13.59151255220235,angelina_jolie
meryl streep,13.560274507536993,meryl_streep
bradley cooper,13.543595766390364,bradley_cooper
carpool karaoke,13.527107643601802,carpool_karaoke
cam newton,13.49468616590942,cam_newton
lip sync,13.43195041056146,lip_sync
nicki minaj,13.43195041056146,nicki_minaj
channing tatum,13.425502600763421,channing_tatum
brad pitt,13.419908584290194,brad_pitt
nicole kidman,13.401576761517939,nicole_kidman
trevor noah,13.383654853520675,trevor_noah
reese witherspoon,13.371829418123884,reese_witherspoon
samantha bee,13.335256054564304,samantha_bee
tina fey,13.258618807675898,tina_fey
rick steves,13.211020427303493,rick_steves
colin kaepernick,13.20413069731172,colin_kaepernick
bruce springsteen,13.181025687005654,bruce_springsteen
jim carrey,13.179184340181491,jim_carrey
peyton manning,13.155056069288596,peyton_manning
sean spicer,13.108795012290091,sean_spicer
fifty shades,13.101181828180215,fifty_shades
muhammad ali,13.079648666630574,muhammad_ali
ed sheeran,13.066421507458589,ed_sheeran
seth rogen,13.055801924676214,seth_rogen
demi lovato,13.032342951852222,demi_lovato
mariah carey,13.030266832569072,mariah_carey
kobe bryant,13.00452918682678,kobe_bryant
force awakens,12.942145142880642,force_awakens
joan rivers,12.916418317762272,joan_rivers
steven spielberg,12.909723665188265,steven_spielberg
comic con,12.891422848445325,comic_con
calvin harris,12.880107184422164,calvin_harris
lena dunham,12.878014805460927,lena_dunham
lamar odom,12.878014805460925,lamar_odom
alec baldwin,12.839051649916534,alec_baldwin
melissa mccarthy,12.834536168794045,melissa_mccarthy
woody allen,12.81403109978278,woody_allen
seth meyers,12.792767518842414,seth_meyers
popcorn preview,12.769793404043789,popcorn_preview
ariana grande,12.756637263983741,ariana_grande
silicon valley,12.741461986879425,silicon_valley
whitney houston,12.672831674156704,whitney_houston
blake shelton,12.655622384124479,blake_shelton
blake lively,12.585451629832606,blake_lively
planned parenthood,12.552052385216394,planned_parenthood
steph curry,12.545966670853113,steph_curry
tim tebow,12.525547129614178,tim_tebow
los angeles,12.5108058312727,los_angeles
larry nassar,12.45480337473638,larry_nassar
peanut butter,12.408271414091944,peanut_butter
ask airfarewatchdog,12.401576761517935,ask_airfarewatchdog
emma watson,12.39452200398399,emma_watson
debbie reynolds,12.380174284785713,debbie_reynolds
selena gomez,12.356569186195788,selena_gomez
ellen degeneres,12.342683072464368,ellen_degeneres
liam hemsworth,12.332619389119673,liam_hemsworth
matt damon,12.32413267609259,matt_damon
tiger woods,12.286099544098008,tiger_woods
britney spears,12.264197442067587,britney_spears
johnny depp,12.26376967226643,johnny_depp
met gala,12.21967911840955,met_gala
johnny manziel,12.200213295821085,johnny_manziel
kendrick lamar,12.199942900348287,kendrick_lamar
katy perry,12.187981288418648,katy_perry
kevin spacey,12.174507852972019,kevin_spacey
ben affleck,12.159855558204946,ben_affleck
jay z,12.146973451846984,jay_z
ncaa tournament,12.144743694852464,ncaa_tournament
jon chattman,12.09172149893115,jon_chattman
carrie fisher,12.036226386339447,carrie_fisher
miley cyrus,12.029022593560605,miley_cyrus
las vegas,11.99994868994269,las_vegas
kevin hart,11.978110640168511,kevin_hart
carrie underwood,11.956056037655465,carrie_underwood
jessica chastain,11.94214514288064,jessica_chastain
ray rice,11.920988491284078,ray_rice
mark hamill,11.920450071781321,mark_hamill
looney front,11.88838886254902,looney_front
scott disick,11.886692696532927,scott_disick
chrissy teigen,11.878014805460927,chrissy_teigen
kelly clarkson,11.87106204481916,kelly_clarkson
harry potter,11.86180973158096,harry_potter
pleads guilty,11.858905982513221,pleads_guilty
huffpost tastemakers,11.839334337296865,huffpost_tastemakers
lady gaga,11.80929954895092,lady_gaga
kerry washington,11.769793404043787,kerry_washington
paul mccartney,11.765267380796564,paul_mccartney
kristen bell,11.747805102878132,kristen_bell
leslie jones,11.692166889872295,leslie_jones
jimmy kimmel,11.682400480795266,jimmy_kimmel
hunger games,11.666415664198485,hunger_games
san bernardino,11.664611167351731,san_bernardino
san diego,11.664611167351731,san_diego
amy poehler,11.655622384124479,amy_poehler
cell phone,11.64966082588576,cell_phone
nyong o,11.64668925935447,nyong_o
san francisco,11.644147064792016,san_francisco
jimmy fallon,11.64407236213616,jimmy_fallon
stephen colbert,11.634275088980775,stephen_colbert
amy schumer,11.628400915389449,amy_schumer
huffpost deathmatch,11.62777439917136,huffpost_deathmatch
plus size,11.616248145790337,plus_size
k rowling,11.611499830892171,k_rowling
mark zuckerberg,11.572526768361021,mark_zuckerberg
harry styles,11.549133949931795,harry_styles
hillary clinton,11.540956689360144,hillary_clinton
suicide squad,11.469811497270394,suicide_squad
harvey weinstein,11.45688267857482,harvey_weinstein
serena williams,11.446941475000825,serena_williams
kate hudson,11.43771735378034,kate_hudson
difference between,11.3676294295946,difference_between
golden globes,11.366269892781984,golden_globes
emma stone,11.357685235803617,emma_stone
march madness,11.357182642159483,march_madness
david bowie,11.32416758493152,david_bowie
tom hiddleston,11.286099544098006,tom_hiddleston
jessica simpson,11.278957474853984,jessica_simpson
daily meditation,11.26382583901967,daily_meditation
tom hanks,11.250475634367287,tom_hanks
flight attendant,11.245072275837948,flight_attendant
jennifer aniston,11.240584884845635,jennifer_aniston
ryan lochte,11.237189943617057,ryan_lochte
infinity war,11.214719694340786,infinity_war
ryan gosling,11.1830060511339,ryan_gosling
justin timberlake,11.172758071022058,justin_timberlake
amber rose,11.136540002772994,amber_rose
jennifer lawrence,11.133395638751283,jennifer_lawrence
justin bieber,11.116174542655694,justin_bieber
true detective,11.114326118263321,true_detective
taste test,11.11094347886867,taste_test
jennifer lopez,11.100407226797373,jennifer_lopez
social media,11.081152257220962,social_media
chris pratt,11.080928218857153,chris_pratt
tom brady,11.079648666630575,tom_brady
birth control,11.059621611950877,birth_control
test results,11.05580192467621,test_results
george clooney,11.053176455269382,george_clooney
ice cream,11.051814458433853,ice_cream
climate change,11.02862466360611,climate_change
north korea,11.028118365990496,north_korea
kristen stewart,11.024125199462151,kristen_stewart
domestic violence,11.016912911282613,domestic_violence
gold medal,10.990166657743584,gold_medal
youtube videos,10.987948832493768,youtube_videos
red carpet,10.926662252660654,red_carpet
north carolina,10.920450071781321,north_carolina
gilmore girls,10.915460034737409,gilmore_girls
halloween costumes,10.884848996549238,halloween_costumes
cruise ship,10.869250355796149,cruise_ship
bucket list,10.859834789395906,bucket_list
golden globe,10.844872520838296,golden_globe
funniest tweets,10.836538169484768,funniest_tweets
little liars,10.827326039229083,little_liars
michael phelps,10.761604006230442,michael_phelps
ryan reynolds,10.74395012691582,ryan_reynolds
jon snow,10.717325984149653,jon_snow
pope francis,10.7058823344112,pope_francis
gluten free,10.7020858727704,gluten_free
sag awards,10.66822242090411,sag_awards
jon stewart,10.641060089921586,jon_stewart
louis c,10.634863823957682,louis_c
st patrick,10.612011152903863,st_patrick
last jedi,10.571307447512334,last_jedi
kanye west,10.55217166057018,kanye_west
james corden,10.547747409660838,james_corden
credit card,10.544978320440487,credit_card
stephen curry,10.535078354710377,stephen_curry
grilled cheese,10.525618025461313,grilled_cheese
box office,10.522320435360733,box_office
kylie jenner,10.511246389202311,kylie_jenner
sexual misconduct,10.501322470015607,sexual_misconduct
st louis,10.498006524201033,st_louis
caitlyn jenner,10.483232013032714,caitlyn_jenner
james franco,10.46285851207432,james_franco
taylor swift,10.444687136099084,taylor_swift
each other,10.409309220981598,each_other
kendall jenner,10.397075369282996,kendall_jenner
black panther,10.394082224971015,black_panther
south africa,10.37820042342857,south_africa
national anthem,10.348030943789956,national_anthem
la land,10.338804112844628,la_land
bill cosby,10.313949463722434,bill_cosby
kris jenner,10.297539695732087,kris_jenner
chris hemsworth,10.271109751859091,chris_hemsworth
health care,10.268682491020591,health_care
bill murray,10.256918518686053,bill_murray
super bowl,10.255233439743627,super_bowl
last minute,10.25522023121403,last_minute
kourtney kardashian,10.233058581289876,kourtney_kardashian
r r,10.230149734910393,r_r
robin williams,10.207956633385006,robin_williams
horror story,10.199278947274749,horror_story
sexual assault,10.162500393815645,sexual_assault
shuts down,10.147335474142151,shuts_down
release date,10.137791147627134,release_date
michelle obama,10.135221004654511,michelle_obama
trip playlist,10.111814006720703,trip_playlist
credit cards,10.104405729054509,credit_cards
lebron james,10.084775433318287,lebron_james
saturday night,10.075288613931264,saturday_night
sexual harassment,10.064382868706343,sexual_harassment
20 funniest,10.060391547949497,20_funniest
khloe kardashian,10.052741974000963,khloe_kardashian
f king,10.044024756899855,f_king
pays tribute,10.012534470772039,pays_tribute
d c,10.006399684599938,d_c
years ago,9.984990323976037,years_ago
south carolina,9.90252816378406,south_carolina
pokemon go,9.864487814525203,pokemon_go
john oliver,9.822889586223267,john_oliver
part ii,9.807459545653662,part_ii
la la,9.804641619130706,la_la
american idol,9.802593790481847,american_idol
dressed list,9.794246447768332,dressed_list
live updates,9.786289723939989,live_updates
spring break,9.781153266208332,spring_break
john legend,9.770787474944337,john_legend
kim kardashian,9.76940237679085,kim_kardashian
american sniper,9.766067914456732,american_sniper
front part,9.76162277922234,front_part
pitch perfect,9.742716147128249,pitch_perfect
fatally shot,9.73269177725169,fatally_shot
stress free,9.671497552936973,stress_free
c k,9.652141815389518,c_k
james bond,9.649627023680047,james_bond
academy awards,9.635800943211736,academy_awards
road trip,9.625311599477609,road_trip
road trips,9.623181635939805,road_trips
open letter,9.597144537915103,open_letter
years later,9.589244163305949,years_later
never heard,9.576017244082744,never_heard
billboard music,9.537906694508543,billboard_music
walking dead,9.509720744571087,walking_dead
f k,9.485968948808312,f_k
9 youtube,9.4790893108584,9_youtube
high school,9.47397655515476,high_school
breaking bad,9.4293947056577,breaking_bad
united airlines,9.408864149448851,united_airlines
choice awards,9.395203926497695,choice_awards
shut down,9.390606625154515,shut_down
no longer,9.385533220756738,no_longer
prince harry,9.379208948489486,prince_harry
airport security,9.336956461437415,airport_security
ohio state,9.32327767329178,ohio_state
president obama,9.312442448310788,president_obama
yet another,9.301019540735007,yet_another
star wars,9.294192324586438,star_wars
national parks,9.279318193705938,national_parks
stranger things,9.26357929881827,stranger_things
love letters,9.262878317829113,love_letters
black friday,9.240835964675332,black_friday
american horror,9.240451997170792,american_horror
j k,9.225083009553098,j_k
spider man,9.219506330213537,spider_man
one direction,9.205726127633984,one_direction
tonight show,9.143538763320418,tonight_show
ve been,9.112639501858617,ve_been
national park,9.098252634658431,national_park
film festival,9.092704819456022,film_festival
star trek,9.079781273371873,star_trek
x men,9.061384279096774,x_men
car crash,9.010626174503086,car_crash
apple rumors,9.007527818405023,apple_rumors
weekend box,8.983800255959572,weekend_box
happens when,8.973339764484239,happens_when
winter olympics,8.970226192970133,winter_olympics
tom cruise,8.924912018763413,tom_cruise
rio olympics,8.91085956667552,rio_olympics
travel zen,8.842116324549368,travel_zen
mad men,8.820376179592985,mad_men
pretty little,8.81516997692314,pretty_little
white house,8.81379924518973,white_house
donald trump,8.813217513310523,donald_trump
weekly travel,8.804641619130706,weekly_travel
shares adorable,8.781968117989893,shares_adorable
rob kardashian,8.778680190378857,rob_kardashian
mass shooting,8.771639463209164,mass_shooting
north west,8.706190271103132,north_west
wonder woman,8.700473107826152,wonder_woman
college football,8.693355031479584,college_football
so far,8.682393321036146,so_far
ivanka trump,8.660711826221336,ivanka_trump
j j,8.655579303812099,j_j
year old,8.632063994480253,year_old
i am,8.603715125387012,i_am
late night,8.585059717087397,late_night
sex abuse,8.584883974881,sex_abuse
happy birthday,8.565947385465156,happy_birthday
football players,8.522736259867193,football_players
labor day,8.491742490044473,labor_day
i m,8.466771002590539,i_m
chris brown,8.435792476855854,chris_brown
speaks out,8.425155840747117,speaks_out
york city,8.419850932986831,york_city
most expensive,8.409797268322908,most_expensive
movie review,8.385232736117253,movie_review
while traveling,8.346983209897994,while_traveling
fast food,8.345340478021082,fast_food
captain america,8.335936240023784,captain_america
memorial day,8.316223472128934,memorial_day
police officer,8.311239070347415,police_officer
better than,8.305291601852943,better_than
ve never,8.29182179655049,ve_never
too much,8.288781867361541,too_much
dessert recipes,8.286099544098002,dessert_recipes
football player,8.251096063465718,football_player
friday box,8.244919066573122,friday_box
right now,8.232972660434227,right_now
baby boy,8.22103001622593,baby_boy
most romantic,8.217845960550596,most_romantic
most popular,8.201904416681575,most_popular
chris rock,8.190437238256882,chris_rock
sexual abuse,8.163627059269928,sexual_abuse
must see,8.125536211923396,must_see
cooking off,8.113723063661594,cooking_off
opens up,8.078442969962977,opens_up
nfl player,8.047364117882099,nfl_player
world cup,8.040539524744437,world_cup
kim k,8.012731530645983,kim_k
aren t,7.992893202222499,aren_t
didn t,7.992893202222499,didn_t
shouldn t,7.992893202222498,shouldn_t
wouldn t,7.992893202222498,wouldn_t
wasn t,7.992893202222498,wasn_t
isn t,7.992893202222498,isn_t
doesn t,7.992893202222498,doesn_t
couldn t,7.992893202222498,couldn_t
they re,7.990958047235669,they_re
fashion week,7.978152451962366,fashion_week
what happens,7.971588920773122,what_happens
save money,7.968520558304941,save_money
so much,7.9354436382973175,so_much
don t,7.8823348270748,don_t
music awards,7.847488469045307,music_awards
doctor who,7.814424329705961,doctor_who
i learned,7.78346320931497,i_learned
less than,7.767446388424612,less_than
nfl players,7.766463291254789,nfl_players
its own,7.763100622379596,its_own
looks like,7.747716584065881,looks_like
can teach,7.7273309839220765,can_teach
most dangerous,7.710414856964856,most_dangerous
night live,7.707732435911537,night_live
breaks down,7.701079244252586,breaks_down
police say,7.673187911475858,police_say
new zealand,7.663484501897451,new_zealand
your weekly,7.6621336637454895,your_weekly
golden state,7.652585298544736,golden_state
our taste,7.648091736416749,our_taste
new york,7.646901617701848,new_york
explains why,7.638194998688352,explains_why
haven t,7.63032312283779,haven_t
new orleans,7.62449037028158,new_orleans
13 reasons,7.6072421302837565,13_reasons
time since,7.5986757905345845,time_since
won t,7.595920418705642,won_t
baby girl,7.59493763954492,baby_girl
american airlines,7.570420348352818,american_airlines
ll ever,7.547370674306362,ll_ever
music festival,7.5427076807723585,music_festival
50 years,7.53847459322402,50_years
love letter,7.528083822704531,love_letter
what happened,7.52155600013808,what_happened
most important,7.506758998209994,most_important
1 million,7.505791127742133,1_million
shooting suspect,7.4744497794011435,shooting_suspect
check out,7.4532759049897885,check_out
cops say,7.452213217541587,cops_say
they were,7.411360216402848,they_were
last night,7.40584209426072,last_night
me too,7.37474101354379,me_too
our favorite,7.373930631253806,our_favorite
school football,7.360228729987362,school_football
york fashion,7.352635852890575,york_fashion
have been,7.347726281509877,have_been
ve ever,7.347463693241508,ve_ever
old boy,7.337283084721782,old_boy
get ready,7.3368339967676794,get_ready
part 2,7.3197486819809745,part_2
1 000,7.284779936804045,1_000
9 11,7.280561360556573,9_11
more than,7.278320927244625,more_than
has been,7.269934120903728,has_been
proof that,7.259094246818115,proof_that
talking about,7.2510175423346865,talking_about
re going,7.235951897509249,re_going
get away,7.2189341170808925,get_away
we re,7.2114602795666976,we_re
ll never,7.204659439939629,ll_never
20 years,7.195936218661372,20_years
found dead,7.1461350403356505,found_dead
daily show,7.07464368210935,daily_show
real life,7.00978238847685,real_life
best dressed,7.005525663404278,best_dressed
their own,7.001988940881687,their_own
feel like,6.997837671096513,feel_like
might be,6.987666808244818,might_be
truth about,6.986952797704233,truth_about
gives us,6.982775417238492,gives_us
tweets from,6.978096289063697,tweets_from
will smith,6.971099318848343,will_smith
old girl,6.9521988075445655,old_girl
facts about,6.951845361515026,facts_about
calls out,6.9460332288895765,calls_out
we ve,6.935172951403683,we_ve
world series,6.887397761121188,world_series
may have,6.877707358461169,may_have
at least,6.86038257371476,at_least
top 9,6.849652746333848,top_9
talk about,6.837674341595715,talk_about
says she,6.8231269262430345,says_she
one thing,6.806319280068905,one_thing
inspired by,6.802128779989218,inspired_by
most beautiful,6.797514161602244,most_beautiful
part 1,6.795804042552732,part_1
tv shows,6.776415881379941,tv_shows
look like,6.769281523253834,look_like
top 10,6.756267117039478,top_10
season 2,6.73757399863144,season_2
his own,6.7323287368042735,his_own
sides with,6.727580711671215,sides_with
new jersey,6.7078786212559045,new_jersey
say they,6.689025878759551,say_they
says he,6.688797781361604,says_he
this week,6.684113173699852,this_week
holiday season,6.674664832015655,holiday_season
t believe,6.662247890234027,t_believe
shot dead,6.642659576389222,shot_dead
obsessed with,6.640117870420878,obsessed_with
reasons why,6.6398569209927585,reasons_why
may be,6.628264007938796,may_be
know about,6.612410548276465,know_about
best picture,6.596144566652495,best_picture
learned from,6.59462787476452,learned_from
who killed,6.590918288058803,who_killed
way through,6.5884028929959975,way_through
just got,6.587795570300906,just_got
man accused,6.586645731665713,man_accused
learn from,6.573493182402438,learn_from
